split,source,source_ratio_in_split,total_samples,labeled_samples,unlabeled_samples,labeled_ratio,missing_images,missing_masks,shape_mismatch,errors,mean_positive_ratio,median_positive_ratio
test,AHN,0.04054054054054054,3,3,0,1.0,0,0,0,0,0.0009038987067220913,0.0009751157407407407
test,CAD,0.22972972972972974,17,17,0,1.0,0,0,0,0,0.0018816486172124284,0.0012459891183035714
test,EMC,0.0945945945945946,7,7,0,1.0,0,0,0,0,0.0013624154175497904,0.0005476980498342803
test,IU,0.0945945945945946,7,7,0,1.0,0,0,0,0,0.0011200817473354919,0.000577095227363782
test,MCA,0.04054054054054054,3,3,0,1.0,0,0,0,0,0.00036705334981282557,0.00016307830810546875
test,MCF,0.05405405405405406,4,4,0,1.0,0,0,0,0,0.0052747264188878675,0.0040277099609375
test,NU,0.24324324324324326,18,18,0,1.0,0,0,0,0,9.756463659684006e-05,6.627981664602758e-05
test,NYU,0.20270270270270271,15,15,0,1.0,0,0,0,0,0.0003334310001623068,0.000223876953125
train_new,AHN,0.03515625,9,9,0,1.0,0,0,0,0,0.0004434030071459327,0.00021628857508912655
train_new,CAD,0.25,64,64,0,1.0,0,0,0,0,0.00187159144963892,0.0010351791880489174
train_new,EMC,0.09375,24,24,0,1.0,0,0,0,0,0.0006782654647459621,0.0003954645105310389
train_new,IU,0.10546875,27,27,0,1.0,0,0,0,0,0.0004012307863340646,0.00021733023566569484
train_new,MCA,0.04296875,11,11,0,1.0,0,0,0,0,0.00041625305245398506,0.00046255649664463143
train_new,MCF,0.05078125,13,13,0,1.0,0,0,0,0,0.0026605796842380097,0.0013526710304054054
train_new,NU,0.234375,60,60,0,1.0,0,0,0,0,0.00014382397265929564,8.587032903439155e-05
train_new,NYU,0.1875,48,48,0,1.0,0,0,0,0,0.0007252336405496517,0.0003047519259982639
val_new,AHN,0.07142857142857142,2,2,0,1.0,0,0,0,0,0.0002816964755441318,0.0002816964755441318
val_new,CAD,0.07142857142857142,2,2,0,1.0,0,0,0,0,0.0017880642052852747,0.0017880642052852747
val_new,EMC,0.14285714285714285,4,4,0,1.0,0,0,0,0,0.0007861881616382959,0.0007582695223839023
val_new,IU,0.03571428571428571,1,1,0,1.0,0,0,0,0,0.00013186813186813186,0.00013186813186813186
val_new,MCA,0.03571428571428571,1,1,0,1.0,0,0,0,0,0.0025043487548828125,0.0025043487548828125
val_new,MCF,0.07142857142857142,2,2,0,1.0,0,0,0,0,0.004373609754774305,0.004373609754774305
val_new,NU,0.2857142857142857,8,8,0,1.0,0,0,0,0,0.00039870506424786653,0.00010635504201680672
val_new,NYU,0.2857142857142857,8,8,0,1.0,0,0,0,0,0.0004886477091465033,0.0003954716896524235
